"Qty";"Value";"Device";"Package";"Parts";"Description";"PN";"PN2";"PROD_ID";
"3";"";"BANANA_CONN";"BANANA_CONN";"J7, J9, J11";"Through-hole banana jack";"1568-1664-ND";"";"";
"3";"";"BANANA_CONN";"BANANA_CONN";"J8, J10, J12";"Through-hole banana jack";"1568-1665-ND";"";"";
"2";"";"DIODEPTH";"DIODE-1N4001";"D1, D2";"Diode";"1N4001-TPMSCT-ND";"";"";
"1";"";"DIODEPTH";"DIODE-1N4001";"D3";"Diode";"EGP20FCT-ND";"";"";
"2";"";"TRANSISTOR_NPNTO92";"TO-92";"Q1, Q2";"Generic NPN BJT";"PN2222AFS-ND";"";"";
"1";"";"TRIM3386";"TRIM-3386";"TM1";"";"1528-1997-ND ";"";"";
"1";"0.1uf";"CAPPTH1";"CAP-PTH-5MM";"C6";"Capacitor";"445-173449-1-ND";"";"";
"4";"0.1uf";"CAPPTH1";"CAP-PTH-5MM";"C2, C3, C9, C10";"Capacitor";"BC2665CT-ND";"";"";
"1";"0R010";"RESISTORPTH-1W";"AXIAL-0.6";"RSENSE";"Resistor";"696-1729-ND";"";"";
"1";"0R050";"RESISTORPTH-1W";"AXIAL-0.6";"R7";"Resistor";"696-1731-ND";"";"";
"1";"100K";"RESISTORPTH-1/4W";"AXIAL-0.4";"R6";"Resistor";"100KXBK-ND";"";"";
"1";"100uF";"CAP_POLPTH4";"CPOL-RADIAL-1000UF-25V";"C1";"Capacitor Polarized";"1572-1306-ND";"";"";
"3";"10K";"RESISTORPTH-1/4W";"AXIAL-0.4";"R1, R2, R8";"Resistor";"10.0KXBK-ND";"";"";
"2";"10uF";"CAPPTH1";"CAP-PTH-5MM";"C7, C8";"Capacitor";"445-173437-1-ND";"";"";
"1";"1M";"RESISTORPTH-1/4W";"AXIAL-0.4";"R9";"Resistor";"1.00MXBK-ND";"";"";
"1";"2.05K";"RESISTORPTH-1/4W";"AXIAL-0.4";"R5";"Resistor";"2.05KXBK-ND";"";"";
"1";"22uH";"WE-FAMI";"1415";"L1";"";"732-7163-ND";"";"";
"2";"31.6K";"RESISTORPTH-1/4W";"AXIAL-0.4";"R10, R11";"Resistor";"31.6KXBK-ND";"";"";
"2";"392";"RESISTORPTH-1/4W";"AXIAL-0.4";"R3, R4";"Resistor";"392XBK-ND";"";"";
"1";"47uH";"MURATA1400";"MURATA1400";"L2";"";"811-2633-ND";"";"";
"1";"4u7";"CAP_POLPTH4";"CPOL-RADIAL-1000UF-25V";"C4";"Capacitor Polarized";"399-6091-ND";"";"";
"1";"7805";"M03PTH";"1X03";"J2";"Header 3";"811-2196-5-ND";"LM7805CT-ND";"";
"2";"AD623";"AD623";"DIP08";"U5, U6";"";"AD623ANZ-ND";"";"";
"1";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"U2";"";"1568-1055-ND";"";"";
"2";"EC2";"EC2";"EC2";"U3, U4";"";"399-11029-5-ND";"";"";
"1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME1";"Schematic Frame";"";"";"";
"1";"LCD-16X2NOHOLES";"LCD-16X2NOHOLES";"LCD-16X2_NOHOLES";"U1";"Standard text-only 16x2 parallel input LCD";"1528-1502-ND";"";"";
"1";"MAX1771";"MAX1771";"DIP-08";"U7";"";"MAX1771CPA+-ND";"";"";
"1";"MOSFET-NCHANNELFQP30N06L";"MOSFET-NCHANNELFQP30N06L";"TO220V";"T1";"Common NMOSFET Parts";"FDP33N25-ND";"";"TRANS-10060";
"2";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"S1, S2";"Various NO switches- pushbuttons, reed, etc";"SW406-ND";"";" SWCH-08441";
